,artist,country,title,link,year,period,1_most_frequent_word,1_frequency_of_the_word,1_theme_of_the_word,2_most_frequent_word,2_frequency_of_the_word,2_theme_of_the_word,3_most_frequent_word,3_frequency_of_the_word,3_theme_of_the_word,4_most_frequent_word,4_frequency_of_the_word,4_theme_of_the_word,5_most_frequent_word,5_frequency_of_the_word,5_theme_of_the_word,6_most_frequent_word,6_frequency_of_the_word,6_theme_of_the_word,7_most_frequent_word,7_frequency_of_the_word,7_theme_of_the_word,8_most_frequent_word,8_frequency_of_the_word,8_theme_of_the_word,9_most_frequent_word,9_frequency_of_the_word,9_theme_of_the_word,10_most_frequent_word,10_frequency_of_the_word,10_theme_of_the_word
72,David Seville and The Chipmunks,The United States of America,The Chipmunk Songs (Christmas Don’t Be Late),https://www.songlyrics.com/david-seville-the-chipmunks/the-chipmunk-song-lyrics,1958,1950's,okay,8,celebratory/seasonal,alvin,8,miscellaneous,sing,6,miscellaneos,christmas,6,miscellaneos,want,5,sentimental,wait,4,miscellaneous,good,4,miscellaneous,time,3,miscellaneous,theodore,3,miscellaneous,stand,3,miscellaneos
73,The Temptations,The United States of America,Silent Night,https://www.azlyrics.com/lyrics/temptations/silentnight.html,1970,1970's,night,8,traditions,holy,6,traditions,silent,4,mythical,saviour,4,mythical,christ,4,miscellaneous,born,4,celebratory,heavenly,3,NA,sleep,2,miscellaneous,sing,2,miscellaneous,peace,2,mythical
74,Bing Crosby,The United States of America,I’ll Be Home For Christmas,https://www.azlyrics.com/lyrics/bingcrosby/illbehomeforchristmas.html,1945,1940's,christmas,6,celebratory,i'll,4,miscellaneous,home,4,miscellaneos,tree,2,miscellaneos,toe,2,seasonal,tie,2,celebratory/traditions,snow,2,celebratory/mythical,presents,2,miscellaneous,pian,2,miscellaneous,mis,2,celebratory
75,Bing Crosby ,The United States of America,O Come All Ye Faithful,https://www.azlyrics.com/lyrics/natkingcole/ocomeallyefaithful.html,1963,1960's,come,8,miscellaneous,lord,6,miscellaneous,let,5,miscellaneos,christ,5,miscellaneos,adore,5,miscellaneous,god,4,miscellaneous,ye,3,miscellaneous,sing,3,celebratory,light,2,miscellaneous,glory,2,traditions
76,John Legend Featuring Stevie Wonder,The United States of America,What Christmas Means To Me,https://www.azlyrics.com/lyrics/johnlegend/whatchristmasmeanstome.html,2018,2010's,love,8,NA,christmas,8,celebratory/mythical,oh,7,mythical,things,6,mythical,that's,6,NA,means,6,sentimental,yeah,5,miscellaneous,like,3,NA,darling,3,miscellaneous,baby,3,miscellaneos
77,Pentatonix,The United States of America,That's Christmas To Me,https://www.azlyrics.com/lyrics/pentatonix/thatschristmastome.html,2011,2010's,christmas,16,mythical,oh,12,miscellaneous,that's,10,miscellaneos,cause,9,miscellaneos,i've,6,traditions/mythical,got,6,mythical,song,4,mythical,heart,4,celebratory/mythical,tree,3,miscellaneous,glowing,3,miscellaneos
78,Michael Buble,Canada,Santa Claus Is Coming To Town,https://www.azlyrics.com/lyrics/michaelbuble/santaclausiscomingtotown.html,2011,2010's,better,12,celebratory,coming,6,sentimental,town,5,seasonal,santa,5,seasonal,claus,5,traditions/seasonal,you're,4,sentimental,watch,4,miscellaneous,telling,4,miscellaneous,pout,4,sentimental/celebratory,knows,4,miscellaneos
79,Katy Perry,The United States of America,Cozy Little Christmas,https://www.azlyrics.com/lyrics/katyperry/cozylittlechristmas.html,2018,2010's,la,34,miscellaneous,oh,24,miscellaneous,cozy,7,traditions,cause,7,traditions,little,6,miscellaneous,need,5,miscellaneous,just,5,miscellaneous,you're,4,miscellaneous,christmas,4,miscellaneous,wraps,3,traditions
80,Darlene Love,The United States of America,Winter Wonderland,https://www.azlyrics.com/lyrics/darlenelove/winterwonderland.html,1963,1960's,wonderland,10,miscellaneous,winter,10,traditions,walking,10,traditions,oh,10,,wo,5,miscellaneous,we'll,4,seasonal,snowman,2,celebratory,say,2,mythical,pretend,2,miscellaneous,meadow,2,miscellaneos
81,David Foster,Canada,Carol Of The Bells,NA,1993,1990's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,miscellaneous,NA,NA,NA,NA,NA,NA
82,Sam Smith,England,Have Yourself A Merry Little Christmas,https://www.azlyrics.com/lyrics/samsmith/haveyourselfamerrylittlechristmas.html,2014,2010's,merry,5,sentimental,little,5,miscellaneous,christmas,5,celebratory,troubles,2,miscellaneos,days,2,miscellaneos,yule,2,mythical,yore,1,traditions,years,1,miscellaneous,tide,1,miscellaneos,star,1,traditions
83,Gwen Stefani ft. Blake Shelton,The United States,You Make It Feel Like Christmas,https://www.azlyrics.com/lyrics/gwenstefani/youmakeitfeellikech,2017,2010's,like,10,miscellaneos,thank,9,miscellaneous,make,8,miscellaneos,baby,8,mythical,wanna,7,miscellaneos,feel,7,sentimental,christmas,7,celebratory,thought,3,miscellaneos,sweet,2,traditions,stars,2,traditions
84,Michael Buble,Canada,I'll Be Home For Christmas,https://www.azlyrics.com/lyrics/michaelbuble/illbehomeforchristmas.html,2010,2010's,christmas,6,celebratory,i'll,4,miscellaneous,home,4,traditions,love,3,sentimental,dreams,3,miscellaneos,tree,2,traditions,snow,2,seasonal,presents,2,traditions,mistletoe,2,traditions,light,2,traditions
85,Pentatonix ft. Whitney Houston,The United States,Do You Hear What I Hear?,https://www.azlyrics.com/lyrics/pentatonix/doyouhearwhatihear.html,2019,2010's,know,7,miscellaneos,hear,6,miscellaneous,king,5,mythical,say,4,miscellaneos,said,4,miscellaneos,listen,4,miscellaneous,child,4,mythical,bring,4,traditions,silver,3,traditions,shepherd,3,mythical
86,NewSong,The United States,The Christmas Shoes,https://www.azlyrics.com/lyrics/newsong/thechristmasshoes.html,2009,2000's,christmas,6,celebratory,shoes,5,traditions,mama,4,miscellaneos,look,4,miscellaneos,little,4,traditions,time,3,miscellaneous,sir,3,miscellaneos,said,3,miscellaneos,just,3,Miscelleanous,buy,3,miscellaneous
87,Bing Crosby With Ralph Carmichael Orchestra & Chorus,The United States,Do You Hear What I Hear?,https://www.azlyrics.com/lyrics/bingcrosby/doyouhearwhatihear.html,1963,1960's,hear,6,miscellaneos,said,4,miscellaneous,know,4,miscellaneos,child,4,mythical,bring,4,MIscellaneous,big,4,miscellaneous,shepherd,3,mythical,night,3,traditions,little,3,traditions,lamb,3,mythical
88,John Williams,The United States,Carol Of The Bells,NA,1990,1990's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,Vince Vance & The Valiants,The United States,All I Want For Christmas Is You,https://www.azlyrics.com/lyrics/kellyclarkson/alliwantforchristmasisyou.html,1989,1990s,christmas,9,celebratory,want,8,miscellaneous,need,5,miscellaneos,cause,5,miscellaneos,tree,4,traditions,la,4,miscellaneos,can't,4,miscellaneos,santa,3,mythical,underneath,2,miscellaneous,true',2,miscellaneos
90,Andy Williams,The United States,Silver Bells,https://www.azlyrics.com/lyrics/andywilliams/silverbells.html,2009,2000's,silver,12,traditions,bells,12,traditions,christmas,10,celebratory,ring,8,traditions,hear,6,miscellaneos,soon,5,miscellaneos,day,5,miscellaneos,city,5,miscellaneos,time,4,miscellaneos,smile,4,sentimental
91,Andy Williams,The United States,Do You Hear What I Hear?,https://www.azlyrics.com/lyrics/andywilliams/doyouhearwhatihear.html,2009,2000's,hear,14,miscellaneos,know,8,miscellaneos,say,6,miscellaneos,said,4,miscellaneos,child,4,mythical,bring,4,miscellaneos,big,4,miscellaneos,shepherd,3,mythical,night,3,miscellaneos,little,3,traditions
92,Carpenters,The United States,Home For The Holidays,https://www.azlyrics.com/lyrics/carpenters/theresnoplacelikehomefortheholidays.html,1978,1970's,home,7,traditions,holidays,4,celebratory,there's,2,miscellaneos,sweet,2,traditions,roam,2,miscellaneos,place,2,miscellaneos,pennsylvania,2,miscellaneos,oh,2,miscellaneos,matter,2,miscellaneos,like,2,miscellaneos
93,Jordan Smith,The United States,Mary Did You Know,https://www.azlyrics.com/lyrics/jordansmith/marydidyouknow.html,2015,2010's,know,13,miscellaneos,mary,10,mythical,baby,10,mythical,boy,9,mythical,ooh,2,miscellaneos,oh,2,miscellaneos,lamb,2,mythical,great,2,miscellaneos,day,2,miscellaneos,child,2,mythical
94,Chris Brown,The United States,This Christmas,https://www.azlyrics.com/lyrics/chrisbrown/thischristmas.html,2007,2000's,oh,14,miscellaneos,christmas,10,celebratory,whoa,6,miscellaneos,na,6,miscellaneos,ha,5,miscellaneos,shake,4,miscellaneos,hand,4,miscellaneos,bright,4,miscellaneos,we're,3,miscellaneos,special,3,celebratory
95,Stevie Wonder,The United States,What Christmas Means To Me,https://www.azlyrics.com/lyrics/steviewonder/whatchristmasmeanstome.html,1967,1960's,christmas,11,celebratory,love,8,sentimental,yeah,7,miscellaneos,things,6,miscellaneos,that's,6,miscellaneos,means,6,miscellaneos,baby,6,mythical,oh,5,miscellaneos,lots,4,miscellaneos,mistletoe,3,traditions
96,Josh Groban,The United States,O Holy Night,https://www.azlyrics.com/lyrics/joshgroban/oholynight.html,2010,2010's,night,13,mythical,noel,6,traditions,divine,6,mythical,world,2,miscellaneos,shall,2,miscellaneos,praise,2,traditions,let,2,miscellaneos,holy,2,mythical,christ,2,mythical,yonder,1,miscellaneos
97,Run-DMC,The United States,Christmas In Hollis,https://genius.com/Rundmc-christmas-in-hollis-lyrics,1987,1980's,christmas,7,celebratory,santa,4,mythical,time,3,miscellaneos,rhymes,3,miscellaneos,man,3,miscellaneos,cause,3,miscellaneos,year,2,miscellaneos,wallet,2,miscellaneos,took,2,miscellaneos,night,2,miscellaneos
98,Pentatonix ft. Tori Kelly,The United States,Winter Wonderland / Don't Worry Be Happy,https://www.azlyrics.com/lyrics/pentatonix/winterwonderlanddontworrybehappy.html,2015,2010's,worry,6,sentimental,wonderland,5,seasonal,winter,5,seasonal,walking,5,miscellaneos,happy,5,sentimental,we'll,4,miscellaneos,snowman,3,traditions,we're,2,miscellaneos,song,2,traditions,say,2,miscellaneos
99,Michael Buble ft. The Puppini Sisters,The United States/England,Jingle Bells,https://www.azlyrics.com/lyrics/michaelbuble/jinglebells.html,2012,2010's,jingle,26,traditions,bells,21,traditions,sleigh,11,traditions,horse,11,traditions,fun,11,sentimental,way,10,miscellaneos,open,10,miscellaneos,ride,9,traditions,oh,8,miscellaneos,sing,4,traditions
100,Pentatonix,The United States,White Winter Hymnal,https://www.azlyrics.com/lyrics/pentatonix/whitewinterhymnal.html,2014,2010's,snow,6,seasonal/traditions,round,6,miscellaneous,red,6,traditions,following,4,miscellaneos,white,3,traditions/seasonal,turned,3,miscellaneos,turn,3,miscellaneos,tied,3,miscellaneos,throats,3,miscellaneos,swallowed,3,miscellaneos
